"","site","tag","species","dbh","height","canopy_ht","brooms","rot","Dead / Alive_v1","Dead / Alive_v2","Dead / Alive_v3","Dead / Alive_v4","Inf Location_v1","Inf Location_v2","Inf Location_v3","Inf Location_v4","Gouting_v1","Gouting_v2","Gouting_v3","Gouting_v4","Beetle_v1","Beetle_v2","Beetle_v3","Beetle_v4","NL_v1","NL_v2","NL_v3","NL_v4","NLW_v1","NLW_v2","NLW_v3","NLW_v4","NM_v1","NM_v2","NM_v3","NM_v4","NMW_v1","NMW_v2","NMW_v3","NMW_v4","NH_v1","NH_v2","NH_v3","NH_v4","NHW_v1","NHW_v2","NHW_v3","NHW_v4","SL_v1","SL_v2","SL_v3","SL_v4","SLW_v1","SLW_v2","SLW_v3","SLW_v4","SM_v1","SM_v2","SM_v3","SM_v4","SMW_v1","SMW_v2","SMW_v3","SMW_v4","SH_v1","SH_v2","SH_v3","SH_v4","SHW_v1","SHW_v2","SHW_v3","SHW_v4","Notes_v1","Notes_v2","Notes_v3","Notes_v4","Visit_v1","Visit_v2","Visit_v3","Visit_v4","WSB_v1","WSB_v2","WSB_v3","WSB_v4","infested_v1","infested_v2","infested_v3","infested_v4","new_infestation","tag_ID","Number","Tag #","Description","GeometryType","Elevation","GeoidOffset","distance","infestation_visit_1","infestation_visit_2","infestation_visit_3","infestation_visit_4","unique_ID","TARGET","DISTANCE","TARGET2","DISTANCE2","TARGET3","DISTANCE3","TARGET4","DISTANCE4","geometry.x","Latitude.focal","Longitude.focal","Latitude.target","Longitude.target","geometry.y","bearings1","Latitude.target2","Longitude.target2","geometry.x.x","bearings2","Latitude.target3","Longitude.target3","geometry.y.y","bearings3","Latitude.target4","Longitude.target4","geometry","bearings4","infestation_sum_Visit1_focal","infestation_sum_Visit2_focal","infestation_sum_Visit3_focal","infestation_sum_Visit4_focal","inf_sum_Visit1_target","inf_sum_Visit2_target","inf_sum_Visit3_target","inf_sum_Visit4_target"
"1","MTTP",1,"ABLA",23.7,84.3,7.1,0,"0",1,1,1,1,"BO","BO","BO","BO",2,2,1,1,"0","0","0","0",3,2,2,2,"4-1","4-1","4–1","4-1",2,2,2,2,"0","0","0",NA,1,0,0,0,"0","0","0",NA,3,3,3,3,"0","0","3–1","3-0",2,2,2,1,"0","0","0",NA,2,1,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,1,1,0,"MTTP1",2737,1,NA,"Point",2257.51,NA,0.0590407471367746,1,1,1,1,"MTTP_1_1936","MTTP_4_1938",6.31164526556781,"MTTP_2_1937",8.56758085665118,"MTTP_51_1982",15.6760388870258,"MTTP_46_1979",11.7664132124863,NA,40.43515475,-111.639161,40.4351329,-111.6390923,NA,112.598711040843,40.43519237,-111.6390728,NA,60.8295314847083,40.43505954,-111.6390245,NA,132.390886490883,40.43509524,-111.6390462,NA,124.153227417527,13,10,9,8,1,0,0,0
"2","MTTP",2,"ABLA",14.3,66.1,0,0,"0",1,1,1,1,"BO","BO","BO","0",2,2,3,3,"0","0","0","0",0,1,0,0,"0","0","0",NA,1,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,1,1,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,0,0,0,"MTTP2",2739,2,NA,"Point",2256.747,NA,0.0526434086947684,1,1,0,0,"MTTP_2_1937","MTTP_4_1938",6.80537094782832,"MTTP_1_1936",8.56758085665118,"MTTP_1_1936",8.56758085665118,"MTTP_1_1936",8.56758085665118,NA,40.43519237,-111.6390728,40.4351329,-111.6390923,NA,-165.934113270295,40.43515475,-111.639161,NA,-119.170411309893,40.43515475,-111.639161,NA,-119.170411309893,40.43515475,-111.639161,NA,-119.170411309893,2,2,0,0,1,0,0,0
"3","MTTP",4,"ABLA",NA,2.8,0,0,"0",1,1,1,1,"BR","0","0","0",1,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,1,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,0,0,0,0,"MTTP4",2742,4,NA,"Point",2258.413,NA,0.0529242195551794,1,0,0,0,"MTTP_4_1938","MTTP_1_1936",6.31164526556781,"MTTP_46_1979",5.72403142036665,"MTTP_1_1936",6.31164526556781,"MTTP_46_1979",5.72403142036665,NA,40.4351329,-111.6390923,40.43515475,-111.639161,NA,-67.4012444012383,40.43509524,-111.6390462,NA,136.912970015226,40.43515475,-111.639161,NA,-67.4012444012383,40.43509524,-111.6390462,NA,136.912970015226,1,0,0,0,13,10,9,8
"4","MTTP",5,"ABLA",NA,5.3,0,0,"0",1,1,1,1,"BO","0","0","BO",2,2,3,3,"0","0","0","0",0,0,0,0,"0","0","0",NA,1,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,0,0,1,0,"MTTP5",2743,5,NA,"Point",2255.716,NA,0.0522043033822428,1,0,0,1,"MTTP_5_1939","MTTP_51_1982",5.53324027130894,"MTTP_50_1981",5.11095849850048,"MTTP_51_1982",5.53324027130894,"MTTP_51_1982",5.53324027130894,NA,40.43505788,-111.6390897,40.43505954,-111.6390245,NA,88.0915997096782,40.43507563,-111.6390341,NA,67.3249338541468,40.43505954,-111.6390245,NA,88.0915997096782,40.43505954,-111.6390245,NA,88.0915997096782,1,0,0,1,6,8,4,8
"5","MTTP",7,"ABLA",NA,1.9,0,0,"0",1,1,1,1,"BO","0","0","0",2,2,2,2,"0","0","0","0",0,0,0,0,"0","0","0",NA,1,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,0,0,0,0,"MTTP7",2745,7,NA,"Point",2259.895,NA,0.0610070981327401,1,0,0,0,"MTTP_7_1940","MTTP_11_1944",2.57694254385554,"MTTP_11_1944",2.57694254385554,"MTTP_34_1967",16.1058493703123,"MTTP_8_1941",1.50381945126042,NA,40.43495968,-111.6391799,40.43493746,-111.6391887,NA,-163.163149371592,40.43493746,-111.6391887,NA,-163.163149371592,40.43481469,-111.6391727,NA,177.826957689866,40.43495435,-111.6391636,NA,113.167929675567,1,0,0,0,1,1,0,1
"6","MTTP",8,"ABLA",NA,9,0,0,"0",1,1,1,1,"0","0","0","BO",NA,1,1,1,"0","0","0","0",0,0,0,0,"0","0","0","1-1",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,1,1,"MTTP8",2746,8,NA,"Point",2259.454,NA,0.059776186769351,0,0,0,1,"MTTP_8_1941","MTTP_7_1940",1.50381945126042,"MTTP_9_1942",1.87970031929976,"MTTP_34_1967",15.52182599433,"MTTP_11_1944",2.83679925769383,NA,40.43495435,-111.6391636,40.43495968,-111.6391799,NA,-66.8320597525071,40.4349411,-111.6391498,NA,141.486075773472,40.43481469,-111.6391727,NA,-177.149684564056,40.43493746,-111.6391887,NA,-131.368360274021,0,0,0,1,1,0,0,0
"7","MTTP",9,"ABLA",4.2,30.8,1,0,"0",1,1,1,1,"0","BO","BO","BO",1,1,2,2,"0","0","0","0",0,0,0,0,"0","0","0","1-1",0,1,0,0,"0","0","0","1-3",0,1,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,1,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,1,0,0,1,"MTTP9",2747,9,NA,"Point",2257.702,NA,0.0589669858058068,0,1,0,0,"MTTP_9_1942","MTTP_27_1960",2.23169271165902,"MTTP_27_1960",2.23169271165902,"MTTP_34_1967",14.1656353728819,"MTTP_26_1959",1.76959198643761,NA,40.4349411,-111.6391498,40.43493507,-111.6391749,NA,-107.453231713432,40.43493507,-111.6391749,NA,-107.453231713432,40.43481469,-111.6391727,NA,-172.118933890925,40.43493018,-111.6391346,NA,133.234620102177,0,3,0,0,1,1,0,0
"8","MTTP",10,"ABLA",NA,5.2,0,0,"0",1,1,1,1,"0","0","0","0",1,1,0,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP10",2748,10,NA,"Point",2258.033,NA,0.0601063440731304,0,0,0,0,"MTTP_10_1943","MTTP_27_1960",1.15896201520247,"MTTP_27_1960",1.15896201520247,"MTTP_34_1967",14.0353178344917,"MTTP_8_1941",1.48854489643759,NA,40.43494094,-111.6391636,40.43493507,-111.6391749,NA,-124.2090816759,40.43493507,-111.6391749,NA,-124.2090816759,40.43481469,-111.6391727,NA,-176.847511688427,40.43495435,-111.6391636,NA,0,0,0,0,0,1,1,0,0
"9","MTTP",11,"ABLA",34.8,98.5,0,0,"0",1,1,1,1,"BO","BO","BO","BO",2,2,2,2,"0","0","0","0",1,1,0,1,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,1,1,0,1,0,"MTTP11",2749,11,NA,"Point",2259.519,NA,0.062262468990192,1,1,0,1,"MTTP_11_1944","MTTP_27_1960",1.20018701387426,"MTTP_27_1960",1.20018701387426,"MTTP_34_1967",13.6951949635641,"MTTP_8_1941",2.83679925769383,NA,40.43493746,-111.6391887,40.43493507,-111.6391749,NA,102.770456920111,40.43493507,-111.6391749,NA,102.770456920111,40.43481469,-111.6391727,NA,174.313038462002,40.43495435,-111.6391636,NA,48.6316234465141,1,1,0,1,1,1,0,0
"10","MTTP",12,"ABLA",NA,22.6,0.9,0,"0",1,1,1,1,"0","0","0","0",3,2,2,2,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP12",2750,12,NA,"Point",2259.344,NA,0.065603115743966,0,0,0,0,"MTTP_12_1945","MTTP_11_1944",3.38619409579651,"MTTP_11_1944",3.38619409579651,"MTTP_34_1967",14.1759115137727,"MTTP_11_1944",3.38619409579651,NA,40.43493507,-111.6392285,40.43493746,-111.6391887,NA,85.5064622405663,40.43493746,-111.6391887,NA,85.5064622405663,40.43481469,-111.6391727,NA,160.496238136094,40.43493746,-111.6391887,NA,85.5064622405663,0,0,0,0,1,1,0,1
"11","MTTP",13,"ABLA",7.6,5.4,0,0,"0",1,1,1,1,"0","0","BO","0",2,2,1,1,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,"Rot in area","Rot in area","Rot in area","Rot in area",1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP13",2751,13,NA,"Point",2262.083,NA,0.064093408141907,0,0,0,0,"MTTP_13_1946","MTTP_11_1944",1.90110657156084,"MTTP_11_1944",1.90110657156084,"MTTP_34_1967",14.0763868477011,"MTTP_11_1944",1.90110657156084,NA,40.43493806,-111.6392111,40.43493746,-111.6391887,NA,92.007649427121,40.43493746,-111.6391887,NA,92.007649427121,40.43481469,-111.6391727,NA,166.621455569781,40.43493746,-111.6391887,NA,92.007649427121,0,0,0,0,1,1,0,1
"12","MTTP",14,"ABLA",1.7,49.1,1.7,0,"0",1,1,1,1,"0","0","0","0",0,2,0,0,"0","0","0","0",0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,0,0,0,0,"0","0","0",NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,0,0,0,0,0,"MTTP14",2752,14,NA,"Point",2263.888,NA,0.0636898316708229,0,0,0,0,"MTTP_14_1947","MTTP_11_1944",2.35372579587532,"MTTP_11_1944",2.35372579587532,"MTTP_34_1967",11.6880989785703,"MTTP_11_1944",2.35372579587532,NA,40.43491796,-111.6391996,40.43493746,-111.6391887,NA,23.1283248492129,40.43493746,-111.6391887,NA,23.1283248492129,40.43481469,-111.6391727,NA,168.743037359681,40.43493746,-111.6391887,NA,23.1283248492129,0,0,0,0,1,1,0,1
